"Q22_6","Q24_1","Q25_1","Q26_1","Q27_1","Q28_1","Q29_1","Q30_1","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q1_9","Q1_10","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q4_1","Q4_2","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q31_1","Q32_1","Q33_1","Q34_1","Q39_1","Q40_1","Q41_1","Q42_1","Q43_2","Q44_1","Q46_1","Q53_1","Q53_2","Q48","Q54_1","Q54_2","Q54_3","Q54_4","Q54_5","Q54_6","Q54_7","Q54_8","Q54_9","Q54_10","Q54_11","Q54_12","Q55","Q56","Q57","Q57_11_TEXT","Q57_12_TEXT","Q58","Q37","Q51","Q59","Q38","survey_administered","survey_duration_num"
"Less damaging to the environment","Less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has higher chemical safety","More ethical","Positive","Very positive","Positive","Positive","Negative","Very positive","Very negative","Negative","Neither positive nor negative","Positive","Comfortable","Very comfortable","Comfortable","Comfortable","Uncomfortable","Very comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Neither satisfied nor dissatisfied","Very satisfied","Satisfied","Satisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Agree","Agree","Disagree","Agree","Totally agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Less fatty","Neither lighter nor darker in colour","Less tasty","Neither better nor worse smelling","Less marketable","More profitable","Not sure","Probably yes","Probably yes","Important","Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Important","Important","Important","Important","Male","19-30","Farmer/farm manager of both pig and poultry","","","1000-4999","No","Probably not","Dry feeding","No","electronic",11
"","","","Lower cost","A higher disease risk","Has higher microbiological safety","Neither higher nor lower chemical safety","","Positive","Very positive","Negative","Negative","Positive","Very positive","Very negative","Very negative","Very positive","Neither positive nor negative","Comfortable","Very comfortable","Uncomfortable","Very uncomfortable","Uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Satisfied","Very satisfied","Dissatisfied","Very dissatisfied","Dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Dissatisfied","Disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Totally agree","Agree","Disagree","Neither faster nor slower growth rates","","Lower welfare","Neither higher nor lower feed costs","Neither better nor worse for the environment","Neither more nor less fatty","","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","","Definitely not","Definitely yes","Definitely not","Important","Important","Important","Very Important","Important","Important","Important","Important","Important","Very Important","Not important","Neither important nor unimportant","Male","31-50","Farmer/farm manager of both pig and poultry","","","400-999","No","Definitely not","Wet feeding","No","electronic",21
"Neither more nor less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither agree nor disagree","Totally agree","Totally agree","Totally agree","Totally agree","","Totally disagree","Disagree","Disagree","Agree","Totally agree","Disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","","Neither more nor less tasty","Neither better nor worse smelling","More marketable","Much more profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Male","50+","Agricultural advisor","","","","","","","","electronic",28
"Less damaging to the environment","Less nutritious","Less variable in nutritional content","Much lower cost","","Has lower microbiological safety","","Less ethical","Very negative","Very negative","Very negative","Very negative","Very negative","Very negative","Very negative","Very negative","Very negative","Very negative","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Totally agree","Agree","","","Agree","Disagree","Agree","","","Totally agree","Totally disagree","Agree","Faster growth rates","","Higher welfare","Lower feed costs","Worse for the environment","","","Less tasty","","","","Probably not","Definitely yes","Definitely not","Very Important","Very Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Very Important","Very Important","Very Important","Very Important","Not important","Female","31-50","Food service industry","","","","","","","","electronic",20
"Much less damaging to the environment","More nutritious","Less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has higher microbiological safety","Has higher chemical safety","More ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Neither positive nor negative","Positive","Very positive","Very positive","Very comfortable","Very comfortable","Comfortable","Very comfortable","Very comfortable","Very comfortable","Uncomfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Dissatisfied","Very satisfied","Very satisfied","Very satisfied","Agree","Totally agree","Totally agree","Totally agree","Agree","Totally disagree","Neither agree nor disagree","Disagree","","Disagree","Totally agree","Totally disagree","Faster growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Neither important nor unimportant","Important","Very Important","Very Important","Not important","Important","Not important","Very Important","Very Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Absolutely","Wet feeding","Yes","electronic",21
"Less damaging to the environment","","More variable in nutritional content","","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Very positive","Very positive","Very positive","Positive","Very positive","Very positive","Negative","Negative","Very positive","Positive","Very comfortable","Comfortable","Comfortable","Comfortable","Very comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Very satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Totally agree","Agree","Agree","Agree","","Disagree","Totally disagree","Disagree","Disagree","","Totally agree","Disagree","","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","","Better for the environment","Less fatty","Lighter in colour","More tasty","Neither better nor worse smelling","More marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Male","50+","Farmer/farm manager of both pig and poultry","","","9-Jan","Yes","Probably yes","Dry feeding","No","electronic",13
"Less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","","Has lower microbiological safety","Has lower chemical safety","","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","","","","Agree","Agree","Totally disagree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Not important","Not important","Important","Important","Important","Not important","Not important","Not important","Important","Important","Not important","Important","Male","31-50","Other: involved in the animal industry","agricultural media","","","","","","","electronic",12
"More damaging to the environment","More nutritious","","Higher cost","Neither a higher nor lower disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Positive","Positive","Negative","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Disagree","Agree","Totally agree","Disagree","Disagree","","Disagree","","Totally agree","Disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","Neither more nor less tasty","Neither better nor worse smelling","More marketable","More profitable","Probably yes","Definitely not","Definitely yes","Very Important","Important","Neither important nor unimportant","Neither important nor unimportant","Very Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Very Important","Neither important nor unimportant","Neither important nor unimportant","Male","0-18","Farmer/farm manager of both pig and poultry","","","1000-4999","Yes","Probably yes","Dry feeding","No","electronic",15
"Less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Negative","Negative","Negative","Negative","Negative","Negative","Negative","Negative","Negative","Negative","Very uncomfortable","Comfortable","Very uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Probably yes","Probably not","Definitely not","Important","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Not important","Important","Very Important","Very Important","Important","Female","50+","Veterinarian","","","","","","","","electronic",21
"Less damaging to the environment","Neither more or less nutritious","","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","Has higher chemical safety","More ethical","Neither positive nor negative","Positive","Negative","Neither positive nor negative","Negative","Positive","Very negative","Negative","Negative","Negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Very uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Totally agree","Agree","Agree","Slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Higher feed costs","Neither better nor worse for the environment","Neither more nor less fatty","Darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","Neither more nor less profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Male","31-50","Pig farmer/pig farm manager","","","1000-4999","Yes","Probably yes","Dry feeding","Yes","electronic",20
"Less damaging to the environment","","Much more variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","","More ethical","Positive","Very positive","Positive","Very positive","Very positive","Very positive","Neither positive nor negative","Very positive","Very positive","Positive","Comfortable","Very comfortable","Comfortable","Very comfortable","Very comfortable","Very comfortable","Neither comfortable nor uncomfortable","Comfortable","Very comfortable","Comfortable","Satisfied","Very satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Satisfied","Very satisfied","Satisfied","Agree","Totally agree","Totally agree","Agree","Totally agree","Agree","Agree","Totally agree","Agree","Totally agree","Totally agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Important","Important","Important","Neither important nor unimportant","Important","Male","31-50","Feed processor","","","","","","","","electronic",8
"Less damaging to the environment","","","Lower cost","A lower disease risk","Has lower microbiological safety","","","Very negative","Positive","Positive","Negative","Neither positive nor negative","Positive","Very negative","Very negative","Positive","Positive","Uncomfortable","Comfortable","Comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Comfortable","Very dissatisfied","Satisfied","Satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Satisfied","Satisfied","Neither agree nor disagree","Agree","Disagree","Agree","Totally agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Neither important nor unimportant","Not important","Very Important","Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Important","Male","31-50","Farmer/farm manager of both pig and poultry","","","1000-4999","No","Absolutely","Wet feeding","No","electronic",12
"Less damaging to the environment","Neither more or less nutritious","","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","","Neither more or less ethical","Positive","Positive","Positive","Positive","Positive","Positive","Negative","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Neither faster nor slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Not important","Not important","Very Important","Important","Very Important","Important","Important","Not important","Important","Important","Important","Important","Male","19-30","Poultry farmer/poultry farm manager","","","","","","","","electronic",10
"Less damaging to the environment","","Neither more or less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","","More ethical","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","","Disagree","Agree","Agree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","Darker in colour","More tasty","Worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Neither important nor unimportant","Important","Important","Important","Important","Important","Very Important","Neither important nor unimportant","Very Important","Important","Important","Important","Male","31-50","Pig farmer/pig farm manager","","","1000-4999","No","Probably not","Dry feeding","Yes","electronic",30
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","Less ethical","Positive","Positive","Positive","Negative","Negative","Positive","Negative","Negative","Positive","Positive","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Faster growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","More tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Not sure","Definitely yes","Very Important","Neither important nor unimportant","Very Important","Very Important","Important","Important","Important","Neither important nor unimportant","Important","Not important","Important","Neither important nor unimportant","Male","31-50","Pig farmer/pig farm manager","","","1000-4999","No","Probably yes","Dry feeding","No","electronic",11
"Less damaging to the environment","","More variable in nutritional content","Costs the same","A higher disease risk","Has higher microbiological safety","Has lower chemical safety","More ethical","Very positive","Positive","Positive","Negative","Negative","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Neither higher nor lower feed costs","Better for the environment","More fatty","Darker in colour","More tasty","Neither better nor worse smelling","Less marketable","Neither more nor less profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Male","31-50","Pig farmer/pig farm manager","","","400-999","Yes","Definitely not","Dry feeding","No","electronic",8
"Much less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","More ethical","Negative","Positive","Negative","Positive","Negative","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","","More tasty","Better smelling","Neither more nor less marketable","More profitable","Probably not","Probably not","Might or might not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Male","19-30","Pig farmer/pig farm manager","","","100-199","No","Definitely not","Dry feeding","Yes","electronic",9
"Less damaging to the environment","Less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","Less ethical","Positive","Positive","Positive","Negative","Negative","Positive","Negative","Neither positive nor negative","Positive","Positive","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","","Agree","Agree","Agree","Agree","Slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","More marketable","More profitable","Definitely yes","Definitely not","Probably yes","Very Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Important","Important","Very Important","Important","Male","19-30","Student","","","","","","","","electronic",9
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Costs the same","Neither a higher nor lower disease risk","","Has higher chemical safety","More ethical","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Positive","Neither positive nor negative","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Disagree","","Agree","","Disagree","Agree","Agree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","","","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","","Definitely yes","Definitely not","Probably yes","Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Probably yes","Dry feeding","Yes","electronic",19
"Much less damaging to the environment","","","Lower cost","A higher disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","Less ethical","Very negative","Negative","Very negative","Negative","Negative","Negative","Very negative","Very negative","Negative","Very negative","Very uncomfortable","Uncomfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Very dissatisfied","Dissatisfied","Very dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Very dissatisfied","Very dissatisfied","Dissatisfied","Very dissatisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Totally agree","Agree","Totally agree","Agree","Totally agree","Agree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Probably yes","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Very Important","Important","Female","19-30","Pig farmer/pig farm manager","","","1000-4999","No","Might or might not","Dry feeding","No","electronic",17
"Neither more nor less damaging to the environment","Less nutritious","Much less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","Less ethical","Negative","Positive","Negative","Negative","Negative","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Disagree","Disagree","Disagree","Agree","Totally agree","Agree","Agree","Agree","Totally agree","Agree","Agree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Neither better nor worse for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely not","Probably not","Definitely not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Important","Important","Important","Important","Male","31-50","Feed processor","","","","","","","","electronic",11
"Neither more nor less damaging to the environment","More nutritious","More variable in nutritional content","Costs the same","","Has higher microbiological safety","","More ethical","Positive","Positive","Positive","Positive","Negative","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Agree","Agree","Disagree","Agree","Agree","Totally disagree","Disagree","Agree","Agree","Agree","Totally agree","Disagree","Faster growth rates","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","","","Neither more nor less marketable","Neither more nor less profitable","Probably yes","Probably not","Definitely yes","Important","Important","Important","Very Important","Very Important","Important","Important","Important","Very Important","Important","Important","Important","Male","50+","Other: NOT involved in the animal industry","","engineer","","","","","","electronic",18
"Less damaging to the environment","","More variable in nutritional content","Lower cost","","","Neither higher nor lower chemical safety","Neither more or less ethical","Negative","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Uncomfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Very dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Very Important","Important","Important","Important","Important","Important","Important","Very Important","Important","Very Important","Male","50+","Trader","","","","","","","","electronic",14
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A higher disease risk","","","More ethical","Neither positive nor negative","Positive","Positive","Positive","Negative","Positive","Negative","Positive","Positive","Neither positive nor negative","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Dissatisfied","Agree","Agree","Totally agree","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Totally agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Important","Neither important nor unimportant","Important","Very Important","Important","Important","Male","50+","Farmer/farm manager of both pig and poultry","","","400-999","No","Absolutely","Wet feeding","Yes","electronic",18
"Much less damaging to the environment","Less nutritious","Less variable in nutritional content","Much lower cost","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Negative","Positive","Negative","Negative","Negative","Very negative","Very negative","Negative","Positive","Negative","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Totally agree","Totally agree","Disagree","Agree","Agree","Disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Neither faster nor slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely not","Probably yes","Probably not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Very Important","Important","Neither important nor unimportant","Important","Male","19-30","Feed processor","","","","","","","","electronic",12
